name,country,suburb,repo_id,live_id,tier,dist_m,note
9 Degrees Alexandria,AU,Alexandria,seed-0,seed-0,T1-exact-id,0,
9 Degrees Lane Cove,AU,Lane Cove West,seed-1,seed-1,T1-exact-id,0,
9 Degrees Parramatta,AU,Rydalmere,seed-2,seed-2,T1-exact-id,0,
9 Degrees Waterloo,AU,Waterloo,seed-3,seed-3,T1-exact-id,0,
NOMAD Bouldering,AU,Annandale,seed-4,seed-4,T1-exact-id,0,
NOMAD Bouldering Gladesville,AU,Gladesville,seed-5,seed-5,T1-exact-id,0,
Sydney Indoor Climbing Gym – St Peters,AU,St Peters,seed-6,seed-6,T1-exact-id,0,
Elevate Climbing Villawood,AU,Villawood,seed-7,seed-7,T1-exact-id,0,
Climb Fit St Leonards,AU,St Leonards,seed-8,seed-8,T1-exact-id,0,
Climb Fit Macquarie,AU,Macquarie Park,seed-9,seed-9,T1-exact-id,0,
Climb Fit Kirrawee,AU,Kirrawee,seed-10,seed-10,T1-exact-id,0,
The Ledge Climbing Centre,AU,Camperdown,seed-11,seed-11,T1-exact-id,0,
The Edge Rock Climbing Centre,AU,Castle Hill,seed-12,seed-12,T1-exact-id,0,
The Climbing Centre,AU,Penrith,seed-13,seed-13,T1-exact-id,0,
BlocHaus Marrickville,AU,Marrickville,seed-14,seed-14,T1-exact-id,0,
BlocHaus Leichhardt,AU,Leichhardt,seed-15,seed-15,T1-exact-id,0,
Beta One Bouldering Gym,AU,South Granville,seed-16,seed-16,T1-exact-id,0,
Climbing Collective,AU,Jamisontown,seed-17,seed-17,T1-exact-id,0,
1UP Bouldering,AU,Chullora,seed-18,seed-18,T1-exact-id,0,
Northern Beaches Rockhouse,AU,Brookvale,seed-19,seed-19,T1-exact-id,0,
Skywood Climbing,AU,Freshwater,seed-20,seed-20,T1-exact-id,0,
Hangdog Climbing Gym,AU,Coniston,seed-21,seed-21,T1-exact-id,0,
Camp Street Climbing,AU,Katoomba,seed-22,seed-22,T1-exact-id,0,
Pulse Climbing,AU,Warners Bay,seed-23,seed-23,T1-exact-id,0,
Albury Indoor Rock Climbing,AU,Albury,seed-24,seed-24,T1-exact-id,0,
Dynomite North Wollongong,AU,North Wollongong,seed-25,seed-25,T1-exact-id,0,
Dynomite Albion Park Rail,AU,Albion Park Rail,seed-26,seed-26,T1-exact-id,0,
Sandbox Bouldering Gym,AU,Silverwater,seed-27,seed-27,T1-exact-id,0,
Mountain Strong,AU,Fyshwick,seed-28,seed-28,T1-exact-id,0,
BlocHaus Bouldering Canberra,AU,Fyshwick,seed-29,seed-29,T1-exact-id,0,
BlocHaus Bouldering Mitchell,AU,Mitchell,seed-30,seed-30,T1-exact-id,0,
Hardrock Climbing,AU,Melbourne CBD,seed-31,seed-31,T1-exact-id,0,
Hardrock Climbing Company,AU,Nunawading,seed-32,seed-32,T1-exact-id,0,
BlocHaus Bouldering,AU,Port Melbourne,seed-33,seed-33,T1-exact-id,0,
Bayside Rock Climbing,AU,Carrum Downs,seed-34,seed-34,T1-exact-id,0,
Northside Boulders,AU,Brunswick,seed-35,seed-35,T1-exact-id,0,
Northside Boulders,AU,Northcote,seed-36,seed-36,T1-exact-id,0,
Urban Climb,AU,Collingwood,seed-37,seed-37,T1-exact-id,0,
Urban Climb,AU,Blackburn,seed-38,seed-38,T1-exact-id,0,
Boulder Lab,AU,Ferntree Gully,seed-39,seed-39,T1-exact-id,0,
Gravity Worx,AU,Pascoe Vale,seed-40,seed-40,T1-exact-id,0,
UP Climbing,AU,Balaclava,seed-41,seed-41,T1-exact-id,0,
La Roca Boulders,AU,Oakleigh South,seed-42,seed-42,T1-exact-id,0,
Cliffhanger Climbing Gym,AU,Altona North,seed-43,seed-43,T1-exact-id,0,
Rocket Climbing,AU,Footscray,seed-44,seed-44,T1-exact-id,0,
9 Degrees Bouldering,AU,Enoggera,seed-45,seed-45,T1-exact-id,0,
Urban Climb Milton,AU,Milton,seed-46,seed-46,T1-exact-id,0,
Urban Climb Newstead,AU,Newstead,seed-47,seed-47,T1-exact-id,0,
Urban Climb West End,AU,West End,seed-48,seed-48,T1-exact-id,0,
BOUNCE Hendra,AU,Hendra,seed-49,seed-49,T1-exact-id,0,
Rockit Climbing Gym,AU,Warana,seed-50,seed-50,T1-exact-id,0,
Core Climbing,AU,Carrara,seed-51,seed-51,T1-exact-id,0,
Bould Move,AU,Birtinya,seed-52,seed-52,T1-exact-id,0,
Alpine Indoor Climbing,AU,Robina,seed-53,seed-53,T1-exact-id,0,
Climb Toowoomba,AU,Toowoomba,seed-54,seed-54,T1-exact-id,0,
Crank,AU,Macgregor,seed-55,seed-55,T1-exact-id,0,
Rocksports,AU,Fortitude Valley,seed-56,seed-56,T1-exact-id,0,
Rocky Climb,AU,Rockhampton,seed-57,seed-57,T1-exact-id,0,
SIX Degrees Bouldering Gym,AU,Atherton,seed-58,seed-58,T1-exact-id,0,
Adrenaline Vault,AU,Belmont,seed-59,seed-59,T1-exact-id,0,
City Summit,AU,Malaga,seed-60,seed-60,T1-exact-id,0,
Portside Boulders,AU,O'Connor,seed-61,seed-61,T1-exact-id,0,
Portside Boulders,AU,Osborne Park,seed-62,seed-62,T1-exact-id,0,
Rockface,AU,Balcatta,seed-63,seed-63,T1-exact-id,0,
The Boulder Hub,AU,Wangara,seed-64,seed-64,T1-exact-id,0,
Urban Jungle,AU,Jandakot,seed-65,seed-65,T1-exact-id,0,
Adelaide's Bouldering Club (BoulderZone),AU,Thebarton,seed-66,seed-66,T1-exact-id,0,
Beyond Bouldering,AU,Kent Town,seed-67,seed-67,T1-exact-id,0,
