name,country,suburb,state,old_repo_id,proposed_new_id
Alé Climbing Hyehwa (알레클라이밍 혜화),KR,"Jongno-gu, Seoul",SEOUL,seed-1881,g-4ca135ca76
Alé Climbing Gangdong (알레클라이밍 강동점),KR,"Gangdong-gu, Seoul",SEOUL,seed-1882,g-7e30006a3e
Hook Climbing Wangsimni (훅클라이밍 왕십리점),KR,"Seongdong-gu, Seoul",SEOUL,seed-1883,g-9ea8c4ee5a
The Climb Magok (더클라임 마곡점),KR,"Gangseo-gu, Seoul",SEOUL,seed-1884,g-38a1bf0200
The Climb Sillim (더클라임 신림점),KR,"Gwanak-gu, Seoul",SEOUL,seed-1885,g-cd05af9428
Climbing Park Hanti (클라이밍파크 한티점),KR,"Gangnam-gu, Seoul",SEOUL,seed-1886,g-d80e8ba031
Warehouse Bouldering (웨어하우스 볼더링),KR,"Dongdaemun-gu, Seoul",SEOUL,seed-1887,g-8db386f087
Seoul Boulders Mokdong (서울볼더스 목동점),KR,"Yangcheon-gu, Seoul",SEOUL,seed-1888,g-f975eb0b04
Seoul Mountain Culture Experience Center (서울특별시산악문화체험센터),KR,"Mapo-gu, Seoul",SEOUL,seed-1889,g-aec01d049c
Climb Emotion (클라임이모션),KR,"Gangnam-gu, Seoul",SEOUL,seed-1890,g-66476c2d3c
Mad Gym Gwangmyeong Climbing Center (매드짐 광명클라이밍센터),KR,"Gwangmyeong-si, Gyeonggi-do",GYEONGGI,seed-1891,g-8213f51019
Pax Climbing Center (팍스클라이밍),KR,"Ojeong-gu, Bucheon-si, Gyeonggi-do",GYEONGGI,seed-1892,g-0aa5185dd5
Chamonix Climbing (샤모니클라이밍),KR,"Uijeongbu-si, Gyeonggi-do",GYEONGGI,seed-1893,g-e8a005400e
Climb A Clock (클라임어클락),KR,"Hwaseong-si, Gyeonggi-do",GYEONGGI,seed-1894,g-5eec475af0
Suji Climbing (수지클라이밍),KR,"Suji-gu, Yongin-si, Gyeonggi-do",GYEONGGI,seed-1895,g-e52dfc621f
Ansan Climbing (안산클라이밍),KR,"Danwon-gu, Ansan-si, Gyeonggi-do",GYEONGGI,seed-1896,g-db1f15e7dc
Rock Face Climbing (락페이스클라이밍),KR,"Jungwon-gu, Seongnam-si, Gyeonggi-do",GYEONGGI,seed-1897,g-79e1f1b07b
AstroMan Climbing Center - Paju Unjeong Branch (애스트로맨 클라이밍센터 파주운정점),KR,"Unjeong-dong, Paju-si, Gyeonggi-do",GYEONGGI,seed-1898,g-53afac8faa
Just Climbing (저스트클라이밍센타),KR,"Siheung-si, Gyeonggi-do",GYEONGGI,seed-1899,g-93ad86cc95
Climb Days (클라임데이즈),KR,"Manan-gu, Anyang-si, Gyeonggi-do",GYEONGGI,seed-1900,g-11bb3a6ff4
Jo Gyu-bok Climbing - Byeollae Branch (조규복클라이밍 별내점),KR,"Byeollae-dong, Namyangju-si, Gyeonggi-do",GYEONGGI,seed-1901,g-08e2ec56d7
Bucheon Climbing Center (부천클라이밍센터),KR,"Bucheon-si, Gyeonggi-do",GYEONGGI,seed-1902,g-0606bbe517
PUMP1 KAWAGUCHI,JP,"Kawaguchi, Saitama",SAITAMA,seed-1903,g-271ed72c15
PUMP2 KAWASAKI,JP,"Tama, Kawasaki",KANAGAWA,seed-1904,g-f0c935db39
B-PUMP YOKOHAMA,JP,"Nishi, Yokohama",KANAGAWA,seed-1905,g-9d6058b392
Climb Park Base Camp Iruma,JP,"Iruma, Saitama",SAITAMA,seed-1906,g-9f83e6bb99
Boulder Park Base Camp Kawagoe,JP,"Kawagoe, Saitama",SAITAMA,seed-1907,g-845f52bdde
NOBOROCK Mizonokuchi,JP,"Takatsu, Kawasaki",KANAGAWA,seed-1908,g-d5c04e7c5b
NOBOROCK Machida,JP,"Machida, Tokyo",TOKYO,seed-1909,g-510f6bfacd
ROCKY Climbing & Fitness Gym Funabashi,JP,"Funabashi, Chiba",CHIBA,seed-1910,g-e883807567
ROCKY Climbing & Fitness Gym Inzai,JP,"Inzai, Chiba",CHIBA,seed-1911,g-04c4db247b
ROCKY Climbing & Fitness Gym Tsukuba Ami,JP,"Ami, Ibaraki",IBARAKI,seed-1912,g-8bffb8d031
GRAVITY RESEARCH Himeji,JP,"Himeji, Hyogo",HYOGO,seed-1913,g-12fe7b793e
GRAVITY RESEARCH Sanga Stadium by KYOCERA,JP,"Kameoka, Kyoto",KYOTO,seed-1914,g-ca0e9a7f2b
Climbing Gym SORANI,JP,"Saku, Nagano",NAGANO,seed-1915,g-5e6f270e19
Edge and Sofa Bouldering Park Matsumoto,JP,"Matsumoto, Nagano",NAGANO,seed-1916,g-aebb393231
