a_id,a_name,b_id,b_name,country,dist_m
seed-452,CELL,seed-453,Exciting Sancha,JP,0
seed-458,Base Camp Tokyo Kinshicho,seed-459,Fish and Bird Toyocho,JP,0
seed-486,Banana Climbing (OCT PARK Happy Time),seed-488,Banana Climbing (Joyful Ave),CN,1476
seed-486,Banana Climbing (OCT PARK Happy Time),seed-489,Banana Climbing (Nanshan Houhai),CN,2465
seed-486,Banana Climbing (OCT PARK Happy Time),seed-492,Banana Climbing (Kingdee),CN,691
seed-487,Banana Climbing (Shangmeilin Zhuoyuehui),seed-490,Banana Climbing (iN City Plaza),CN,1295
seed-487,Banana Climbing (Shangmeilin Zhuoyuehui),seed-491,Banana Climbing (Link Plaza),CN,1503
seed-488,Banana Climbing (Joyful Ave),seed-489,Banana Climbing (Nanshan Houhai),CN,1668
seed-488,Banana Climbing (Joyful Ave),seed-492,Banana Climbing (Kingdee),CN,1051
seed-489,Banana Climbing (Nanshan Houhai),seed-492,Banana Climbing (Kingdee),CN,1773
seed-490,Banana Climbing (iN City Plaza),seed-491,Banana Climbing (Link Plaza),CN,1310
seed-497,Lightning Climbing Gym,seed-514,Nedo Yaugaa Climbing Gym,CN,0
seed-499,Longgang Universiade Center Climbing Gym,seed-510,Zhengyan Climbing Gym (Dayun),CN,0
seed-499,Longgang Universiade Center Climbing Gym,seed-522,Yijiu Climbing Gym (Honglifang Youth Center),CN,0
seed-500,Pulan Sports (Shenzhen),seed-531,Climbing Orangutan (Shuiwan),CN,0
seed-503,Blue Sky Climbing (Futian Sports Park),seed-506,Blue Sky Climbing (Shenye Shangcheng),CN,3172
seed-505,Blue Sky Climbing (Luohu Yitian Holiday Plaza),seed-509,Blue Sky Climbing (Ledongli Cuiyuan Huafu),CN,2131
seed-505,Blue Sky Climbing (Luohu Yitian Holiday Plaza),seed-526,Blue Sky Climbing (Luohu Government Service Center),CN,1739
seed-509,Blue Sky Climbing (Ledongli Cuiyuan Huafu),seed-526,Blue Sky Climbing (Luohu Government Service Center),CN,3522
seed-510,Zhengyan Climbing Gym (Dayun),seed-522,Yijiu Climbing Gym (Honglifang Youth Center),CN,0
seed-518,Little Player Dream Factory (Shiyan Main Store),seed-519,Little Player Dream Factory (Honwan),CN,10534
